"Year","Geography","GeoCode","Value"
"2016","Nunavut",62,93
"2016","Nunavut",62,92.9
"2016","Nunavut",62,100
"2017","Newfoundland and Labrador",10,99.9
"2017","Newfoundland and Labrador",10,99.9
"2017","Newfoundland and Labrador",10,100
"2017","Prince Edward Island",11,99.8
"2017","Prince Edward Island",11,99.8
"2017","Prince Edward Island",11,100
"2017","Nova Scotia",12,99.3
"2017","Nova Scotia",12,99.3
"2017","Nova Scotia",12,98.6
"2017","New Brunswick",13,99.3
"2017","New Brunswick",13,99.4
"2017","New Brunswick",13,97.5
"2017","Quebec",24,99.3
"2017","Quebec",24,99.3
"2017","Quebec",24,99.7
"2017","Ontario",35,97.3
"2017","Ontario",35,97.5
"2017","Ontario",35,84.3
"2017","Manitoba",46,98.7
"2017","Manitoba",46,98.7
"2017","Manitoba",46,98.5
"2017","Saskatchewan",47,98.5
"2017","Saskatchewan",47,98.6
"2017","Saskatchewan",47,94.7
"2017","Alberta",48,97.2
"2017","Alberta",48,97.2
"2017","Alberta",48,97.6
"2017","British Columbia",59,96.5
"2017","British Columbia",59,96.4
"2017","British Columbia",59,99
"2017","Northwest Territories",61,98.4
"2017","Northwest Territories",61,98.4
"2017","Northwest Territories",61,100
"2017","Nunavut",62,95.4
"2017","Nunavut",62,95.8
"2017","Nunavut",62,76.5
"2018","Newfoundland and Labrador",10,99.8
"2018","Newfoundland and Labrador",10,99.8
"2018","Newfoundland and Labrador",10,100
"2018","Prince Edward Island",11,99.4
"2018","Prince Edward Island",11,99.4
"2018","Prince Edward Island",11,100
"2018","Nova Scotia",12,99.3
"2018","Nova Scotia",12,99.4
"2018","Nova Scotia",12,97.3
"2018","New Brunswick",13,99.2
"2018","New Brunswick",13,99.2
"2018","New Brunswick",13,95.7
"2018","Quebec",24,99.3
"2018","Quebec",24,99.3
"2018","Quebec",24,99.7
"2018","Ontario",35,97.4
"2018","Ontario",35,97.5
"2018","Ontario",35,82.6
"2018","Manitoba",46,98.8
"2018","Manitoba",46,98.9
"2018","Manitoba",46,95.5
"2018","Saskatchewan",47,98.4
"2018","Saskatchewan",47,98.4
"2018","Saskatchewan",47,98.4
"2018","Alberta",48,97.2
"2018","Alberta",48,97.2
"2018","Alberta",48,98.3
"2018","British Columbia",59,96.6
"2018","British Columbia",59,96.6
"2018","British Columbia",59,99.4
"2018","Northwest Territories",61,98.3
"2018","Northwest Territories",61,98.2
"2018","Northwest Territories",61,100
"2018","Nunavut",62,96.5
"2018","Nunavut",62,96.7
"2018","Nunavut",62,88.2
"2019","Newfoundland and Labrador",10,99.7
"2019","Newfoundland and Labrador",10,99.7
"2019","Newfoundland and Labrador",10,100
"2019","Prince Edward Island",11,99.4
"2019","Prince Edward Island",11,99.4
"2019","Prince Edward Island",11,100
"2019","Nova Scotia",12,99.2
"2019","Nova Scotia",12,99.2
"2019","Nova Scotia",12,100
"2019","New Brunswick",13,99.4
"2019","New Brunswick",13,99.4
"2019","New Brunswick",13,100
"2019","Quebec",24,99.3
"2019","Quebec",24,99.3
"2019","Quebec",24,100
"2019","Ontario",35,97.6
"2019","Ontario",35,97.7
"2019","Ontario",35,88.4
"2019","Manitoba",46,98.7
"2019","Manitoba",46,98.8
"2019","Manitoba",46,96.9
"2019","Saskatchewan",47,98.9
"2019","Saskatchewan",47,98.9
"2019","Saskatchewan",47,95.2
"2019","Alberta",48,97.2
"2019","Alberta",48,97.2
"2019","Alberta",48,99.8
"2019","British Columbia",59,96.9
"2019","British Columbia",59,96.9
"2019","British Columbia",59,97.7
"2019","Northwest Territories",61,95.6
"2019","Northwest Territories",61,95.9
"2019","Northwest Territories",61,75
"2019","Nunavut",62,96.1
"2019","Nunavut",62,96.1
"2019","Nunavut",62,100
"2020","Newfoundland and Labrador",10,99.7
"2020","Newfoundland and Labrador",10,99.7
"2020","Newfoundland and Labrador",10,95.8
"2020","Prince Edward Island",11,99.2
"2020","Prince Edward Island",11,99.2
"2020","Prince Edward Island",11,87.5
"2020","Nova Scotia",12,99.2
"2020","Nova Scotia",12,99.2
"2020","Nova Scotia",12,100
"2020","New Brunswick",13,99.1
"2020","New Brunswick",13,99.1
"2020","New Brunswick",13,97.4
"2020","Quebec",24,99.5
"2020","Quebec",24,99.5
"2020","Quebec",24,99.6
"2020","Ontario",35,97.1
"2020","Ontario",35,97.2
"2020","Ontario",35,83.3
"2020","Manitoba",46,98
"2020","Manitoba",46,98.1
"2020","Manitoba",46,96.1
"2020","Saskatchewan",47,98.7
"2020","Saskatchewan",47,98.7
"2020","Saskatchewan",47,98.4
"2020","Alberta",48,96.2
"2020","Alberta",48,96.2
"2020","Alberta",48,97.2
"2020","British Columbia",59,96.6
"2020","British Columbia",59,96.5
"2020","British Columbia",59,98
"2020","Northwest Territories",61,97.3
"2020","Northwest Territories",61,97.7
"2020","Northwest Territories",61,71.4
"2020","Nunavut",62,94.5
"2020","Nunavut",62,94.4
"2020","Nunavut",62,100
"2021","Newfoundland and Labrador",10,99.5
"2021","Newfoundland and Labrador",10,99.5
"2021","Newfoundland and Labrador",10,96.3
"2021","Prince Edward Island",11,99
"2021","Prince Edward Island",11,99.1
"2021","Prince Edward Island",11,81.8
"2021","Nova Scotia",12,98.9
"2021","Nova Scotia",12,99
"2021","Nova Scotia",12,95.8
"2021","New Brunswick",13,99.1
"2021","New Brunswick",13,99
"2021","New Brunswick",13,100
"2021","Quebec",24,99.3
"2021","Quebec",24,99.3
"2021","Quebec",24,99.5
"2021","Ontario",35,97
"2021","Ontario",35,97.1
"2021","Ontario",35,84.3
"2021","Manitoba",46,97.5
"2021","Manitoba",46,97.6
"2021","Manitoba",46,94.2
"2021","Saskatchewan",47,98.8
"2021","Saskatchewan",47,98.9
"2021","Saskatchewan",47,95.8
"2021","Alberta",48,95.8
"2021","Alberta",48,95.7
"2021","Alberta",48,97.6
"2021","British Columbia",59,96.7
"2021","British Columbia",59,96.7
"2021","British Columbia",59,98.2
"2021","Northwest Territories",61,97.5
"2021","Northwest Territories",61,97.4
"2021","Northwest Territories",61,100
"2021","Nunavut",62,96.2
"2021","Nunavut",62,97
"2021","Nunavut",62,69.6
"2022","Newfoundland and Labrador",10,99.7
"2022","Newfoundland and Labrador",10,99.7
"2022","Newfoundland and Labrador",10,100
"2022","Prince Edward Island",11,98.7
"2022","Prince Edward Island",11,98.7
"2022","Prince Edward Island",11,100
"2022","Nova Scotia",12,99
"2022","Nova Scotia",12,99
"2022","Nova Scotia",12,90.9
"2022","New Brunswick",13,98.9
"2022","New Brunswick",13,98.9
"2022","New Brunswick",13,95.8
"2022","Quebec",24,99.5
"2022","Quebec",24,99.5
