Year,Geography,GeoCode,Sex,Value
2016,New Brunswick,13,Females,6.5
2017,New Brunswick,13,Both sexes,13.0
2017,New Brunswick,13,Males,21.4
2017,New Brunswick,13,Females,4.9
2018,New Brunswick,13,Both sexes,14.8
2018,New Brunswick,13,Males,24.4
2018,New Brunswick,13,Females,5.4
2019,New Brunswick,13,Both sexes,10.2
2019,New Brunswick,13,Males,15.1
2019,New Brunswick,13,Females,5.3
2020,New Brunswick,13,Both sexes,11.7
2020,New Brunswick,13,Males,19.9
2020,New Brunswick,13,Females,3.8
2015,Newfoundland and Labrador,10,Both sexes,11.9
2015,Newfoundland and Labrador,10,Males,19.2
2015,Newfoundland and Labrador,10,Females,4.8
2016,Newfoundland and Labrador,10,Both sexes,13.8
2016,Newfoundland and Labrador,10,Males,21.0
2016,Newfoundland and Labrador,10,Females,6.7
2017,Newfoundland and Labrador,10,Both sexes,17.4
2017,Newfoundland and Labrador,10,Males,26.7
2017,Newfoundland and Labrador,10,Females,8.3
2018,Newfoundland and Labrador,10,Both sexes,13.7
2018,Newfoundland and Labrador,10,Males,23.1
2018,Newfoundland and Labrador,10,Females,4.5
2019,Newfoundland and Labrador,10,Both sexes,11.5
2019,Newfoundland and Labrador,10,Males,17.0
2019,Newfoundland and Labrador,10,Females,6.0
2020,Newfoundland and Labrador,10,Both sexes,11.1
2020,Newfoundland and Labrador,10,Males,17.9
2020,Newfoundland and Labrador,10,Females,4.6
2015,Northwest Territories,61,Both sexes,20.4
2015,Northwest Territories,61,Males,39.9
2015,Northwest Territories,61,Females,0.0
2016,Northwest Territories,61,Both sexes,26.9
2016,Northwest Territories,61,Males,35.0
2016,Northwest Territories,61,Females,18.4
2017,Northwest Territories,61,Both sexes,15.6
2017,Northwest Territories,61,Males,30.3
2017,Northwest Territories,61,Females,0.0
2018,Northwest Territories,61,Both sexes,26.7
2018,Northwest Territories,61,Males,38.8
2018,Northwest Territories,61,Females,13.8
2019,Northwest Territories,61,Both sexes,17.8
2019,Northwest Territories,61,Males,17.3
2019,Northwest Territories,61,Females,18.3
2020,Northwest Territories,61,Both sexes,8.8
2020,Northwest Territories,61,Males,17.2
2020,Northwest Territories,61,Females,0.0
2015,Nova Scotia,12,Both sexes,13.4
2015,Nova Scotia,12,Males,22.5
