Year,Sources of waste for disposal,Geography,GeoCode,Value
2012,Non-residential sources of waste for disposal,Saskatchewan,,641682.0
2012,All sources of waste for disposal,Alberta,48,3913924.0
2012,Residential sources of waste for disposal,Alberta,,1176226.0
2012,Non-residential sources of waste for disposal,Alberta,,2737698.0
2012,All sources of waste for disposal,British Columbia,59,2604147.0
2012,Residential sources of waste for disposal,British Columbia,,947542.0
2012,Non-residential sources of waste for disposal,British Columbia,,1656605.0
2014,Residential sources of waste for disposal,Canada,,9803644.0
2014,Non-residential sources of waste for disposal,Canada,,14963007.0
2014,All sources of waste for disposal,Newfoundland and Labrador,10,415158.0
2014,All sources of waste for disposal,Nova Scotia,12,364193.0
2014,Residential sources of waste for disposal,Nova Scotia,,160805.0
2014,Non-residential sources of waste for disposal,Nova Scotia,,203388.0
2014,All sources of waste for disposal,New Brunswick,13,508115.0
2014,Residential sources of waste for disposal,New Brunswick,,234534.0
2014,Non-residential sources of waste for disposal,New Brunswick,,273581.0
2014,All sources of waste for disposal,Quebec,24,5414539.0
2014,Residential sources of waste for disposal,Quebec,,2831404.0
2014,Non-residential sources of waste for disposal,Quebec,,2583135.0
2014,All sources of waste for disposal,Ontario,35,9165299.0
2014,Residential sources of waste for disposal,Ontario,,3490792.0
2014,Non-residential sources of waste for disposal,Ontario,,5674507.0
2014,All sources of waste for disposal,Manitoba,46,990230.0
2014,Residential sources of waste for disposal,Manitoba,,333008.0
2014,Non-residential sources of waste for disposal,Manitoba,,657222.0
2014,All sources of waste for disposal,Saskatchewan,47,940595.0
2014,Residential sources of waste for disposal,Saskatchewan,,331430.0
2014,Non-residential sources of waste for disposal,Saskatchewan,,609166.0
2014,All sources of waste for disposal,Alberta,48,4097584.0
2014,Residential sources of waste for disposal,Alberta,,1230635.0
2014,Non-residential sources of waste for disposal,Alberta,,2866949.0
2014,All sources of waste for disposal,British Columbia,59,2721309.0
2014,Residential sources of waste for disposal,British Columbia,,941345.0
2014,Non-residential sources of waste for disposal,British Columbia,,1779963.0
2016,Residential sources of waste for disposal,Canada,,10225943.0
2016,Non-residential sources of waste for disposal,Canada,,14714804.0
2016,All sources of waste for disposal,Newfoundland and Labrador,10,395324.0
2016,All sources of waste for disposal,Nova Scotia,12,375258.0
2016,Residential sources of waste for disposal,Nova Scotia,,169786.0
2016,Non-residential sources of waste for disposal,Nova Scotia,,205472.0
2016,All sources of waste for disposal,New Brunswick,13,503123.0
2016,Residential sources of waste for disposal,New Brunswick,,225893.0
2016,Non-residential sources of waste for disposal,New Brunswick,,277230.0
2016,All sources of waste for disposal,Quebec,24,5356134.0
2016,Residential sources of waste for disposal,Quebec,,3010083.0
2016,Non-residential sources of waste for disposal,Quebec,,2346051.0
2016,All sources of waste for disposal,Ontario,35,9475472.0
2016,Residential sources of waste for disposal,Ontario,,3703850.0
2016,Non-residential sources of waste for disposal,Ontario,,5771622.0
2016,All sources of waste for disposal,Manitoba,46,969289.0
2016,Residential sources of waste for disposal,Manitoba,,308517.0
2016,Non-residential sources of waste for disposal,Manitoba,,660772.0
2016,All sources of waste for disposal,Saskatchewan,47,898404.0
2016,Residential sources of waste for disposal,Saskatchewan,,343497.0
2016,Non-residential sources of waste for disposal,Saskatchewan,,554908.0
2016,All sources of waste for disposal,Alberta,48,4206668.0
2016,Residential sources of waste for disposal,Alberta,,1299856.0
2016,Non-residential sources of waste for disposal,Alberta,,2906811.0
2016,All sources of waste for disposal,British Columbia,59,2614087.0
2016,Residential sources of waste for disposal,British Columbia,,929476.0
2016,Non-residential sources of waste for disposal,British Columbia,,1684611.0
2018,Residential sources of waste for disposal,Canada,,10848238.0
2018,Non-residential sources of waste for disposal,Canada,,14984219.0
2018,All sources of waste for disposal,Newfoundland and Labrador,10,373668.0
2018,Residential sources of waste for disposal,Newfoundland and Labrador,,158588.0
2018,Non-residential sources of waste for disposal,Newfoundland and Labrador,,215080.0
2018,All sources of waste for disposal,Prince Edward Island,11,53972.0
2018,Residential sources of waste for disposal,Prince Edward Island,,20540.0
2018,Non-residential sources of waste for disposal,Prince Edward Island,,33432.0
2018,All sources of waste for disposal,Nova Scotia,12,392328.0
2018,Residential sources of waste for disposal,Nova Scotia,,157078.0
2018,Non-residential sources of waste for disposal,Nova Scotia,,235250.0
2018,All sources of waste for disposal,New Brunswick,13,507848.0
2018,Residential sources of waste for disposal,New Brunswick,,222110.0
2018,Non-residential sources of waste for disposal,New Brunswick,,285738.0
2018,All sources of waste for disposal,Quebec,24,5563136.0
2018,Residential sources of waste for disposal,Quebec,,3231578.0
2018,Non-residential sources of waste for disposal,Quebec,,2331557.0
2018,All sources of waste for disposal,Ontario,35,10185050.0
2018,Residential sources of waste for disposal,Ontario,,3980665.0
2018,Non-residential sources of waste for disposal,Ontario,,6204384.0
2018,All sources of waste for disposal,Manitoba,46,963256.0
2018,Residential sources of waste for disposal,Manitoba,,333742.0
2018,Non-residential sources of waste for disposal,Manitoba,,629514.0
2018,All sources of waste for disposal,Saskatchewan,47,864753.0
2018,Residential sources of waste for disposal,Saskatchewan,,381180.0
2018,Non-residential sources of waste for disposal,Saskatchewan,,483573.0
2018,All sources of waste for disposal,Alberta,48,4118081.0
2018,Residential sources of waste for disposal,Alberta,,1336765.0
2018,Non-residential sources of waste for disposal,Alberta,,2781316.0
2018,All sources of waste for disposal,British Columbia,59,2719877.0
2018,Residential sources of waste for disposal,British Columbia,,993371.0
2018,Non-residential sources of waste for disposal,British Columbia,,1726506.0
2018,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,90489.0
2018,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,32621.0
2018,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,57868.0
2020,Residential sources of waste for disposal,Canada,,10862118.0
2020,Non-residential sources of waste for disposal,Canada,,15334644.0
2020,All sources of waste for disposal,Newfoundland and Labrador,10,365210.0
2020,Residential sources of waste for disposal,Newfoundland and Labrador,,161147.0
2020,Non-residential sources of waste for disposal,Newfoundland and Labrador,,204063.0
2020,All sources of waste for disposal,Prince Edward Island,11,55803.0
2020,Residential sources of waste for disposal,Prince Edward Island,,20174.0
2020,Non-residential sources of waste for disposal,Prince Edward Island,,35629.0
2020,All sources of waste for disposal,Nova Scotia,12,399735.0
2020,Residential sources of waste for disposal,Nova Scotia,,157740.0
2020,Non-residential sources of waste for disposal,Nova Scotia,,241995.0
2020,All sources of waste for disposal,New Brunswick,13,498839.0
2020,Residential sources of waste for disposal,New Brunswick,,215093.0
2020,Non-residential sources of waste for disposal,New Brunswick,,283746.0
2020,All sources of waste for disposal,Quebec,24,5756149.0
2020,Residential sources of waste for disposal,Quebec,,3417649.0
2020,Non-residential sources of waste for disposal,Quebec,,2338499.0
2020,All sources of waste for disposal,Ontario,35,10389601.0
2020,Residential sources of waste for disposal,Ontario,,3814211.0
2020,Non-residential sources of waste for disposal,Ontario,,6575391.0
2020,All sources of waste for disposal,Manitoba,46,934437.0
2020,Residential sources of waste for disposal,Manitoba,,325486.0
2020,Non-residential sources of waste for disposal,Manitoba,,608951.0
2020,All sources of waste for disposal,Saskatchewan,47,852445.0
2020,Residential sources of waste for disposal,Saskatchewan,,406635.0
2020,Non-residential sources of waste for disposal,Saskatchewan,,445810.0
2020,All sources of waste for disposal,Alberta,48,4044817.0
2020,Residential sources of waste for disposal,Alberta,,1238331.0
2020,Non-residential sources of waste for disposal,Alberta,,2806486.0
2020,All sources of waste for disposal,British Columbia,59,2803431.0
2020,Residential sources of waste for disposal,British Columbia,,1068244.0
2020,Non-residential sources of waste for disposal,British Columbia,,1735187.0
2020,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,96294.0
2020,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,37409.0
2020,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,58886.0
2022,Residential sources of waste for disposal,Canada,,10917710.0
2022,Non-residential sources of waste for disposal,Canada,,16182311.0
2022,All sources of waste for disposal,Newfoundland and Labrador,10,364313.0
2022,Residential sources of waste for disposal,Newfoundland and Labrador,,159406.0
2022,Non-residential sources of waste for disposal,Newfoundland and Labrador,,204906.0
2022,All sources of waste for disposal,Prince Edward Island,11,55416.0
2022,Residential sources of waste for disposal,Prince Edward Island,,20490.0
2022,Non-residential sources of waste for disposal,Prince Edward Island,,34926.0
2022,All sources of waste for disposal,Nova Scotia,12,412942.0
2022,Residential sources of waste for disposal,Nova Scotia,,173909.0
2022,Non-residential sources of waste for disposal,Nova Scotia,,239033.0
2022,All sources of waste for disposal,New Brunswick,13,504726.0
2022,Residential sources of waste for disposal,New Brunswick,,244702.0
2022,Non-residential sources of waste for disposal,New Brunswick,,260024.0
2022,All sources of waste for disposal,Quebec,24,5932660.0
2022,Residential sources of waste for disposal,Quebec,,3290023.0
2022,Non-residential sources of waste for disposal,Quebec,,2642638.0
2022,All sources of waste for disposal,Ontario,35,11014468.0
2022,Residential sources of waste for disposal,Ontario,,3866210.0
