Value,en,fr,Disaggregation combinations using this value,Number of indicators
11.0,11.0,11.0,25,1
1.10000002384186,1.10000002384186,1.10000002384186,1,1
1.1002,1.1002,1.1002,2,1
1.1005,1.1005,1.1005,1,1
1.10051534167466,1.10051534167466,1.10051534167466,1,1
110142026.61,110142026.61,110142026.61,1,1
110325394.57,110325394.57,110325394.57,1,1
1.1034,1.1034,1.1034,1,1
1.1037,1.1037,1.1037,1,1
1.1053,1.1053,1.1053,1,1
1.10550887808998,1.10550887808998,1.10550887808998,1,1
1.1066,1.1066,1.1066,1,1
1.1069642720733,1.1069642720733,1.1069642720733,1,1
1.10703529766277,1.10703529766277,1.10703529766277,1,1
1.1083,1.1083,1.1083,1,1
110907803.65,110907803.65,110907803.65,1,1
1.1097,1.1097,1.1097,1,1
11.1,11.1,11.1,31,1
1.11000001430511,1.11000001430511,1.11000001430511,1,1
1.1101213296487,1.1101213296487,1.1101213296487,1,1
111101874.24,111101874.24,111101874.24,1,1
1.1111,1.1111,1.1111,1,1
1.1111111405455,1.1111111405455,1.1111111405455,1,1
1.1112,1.1112,1.1112,1,1
111150550.8,111150550.8,111150550.8,1,1
1.11159771362158,1.11159771362158,1.11159771362158,1,1
1.1119,1.1119,1.1119,1,1
1.1136,1.1136,1.1136,1,1
111378105.26,111378105.26,111378105.26,1,1
1.1145909008527,1.1145909008527,1.1145909008527,1,1
1.1151,1.1151,1.1151,1,1
1.1157,1.1157,1.1157,1,1
1.11646375950327,1.11646375950327,1.11646375950327,1,1
1.1170883422998,1.1170883422998,1.1170883422998,1,1
1.11715839800036,1.11715839800036,1.11715839800036,1,1
1.11718804071646,1.11718804071646,1.11718804071646,1,1
1.1178,1.1178,1.1178,1,1
111841035.4,111841035.4,111841035.4,1,1
1.11940298507463,1.11940298507463,1.11940298507463,1,1
111951415.76,111951415.76,111951415.76,1,1
11.2,11.2,11.2,12,1
1.12000000476837,1.12000000476837,1.12000000476837,1,1
1.1208,1.1208,1.1208,1,1
1.1211,1.1211,1.1211,1,1
