Year,Géographie,Level of government,Type de patrimoine,Value
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1.5720180782079e-05
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6.32145831180593e-06
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001345741221378
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",8.26652240774622e-06
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",8.1206426005507e-05
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,5.46290793616383e-05
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9.50603636912941e-05
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",5.12417881611146e-05
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1.14591340613463e-05
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.66334078815103e-05
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001149041311459
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1.59800447289062e-05
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.32668157630205e-06
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.49649599863379e-05
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001038744281404
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
