Year,Géographie,GeoCode,Type de matières récupérées,Sources des matières préparées en vue du recyclage,Value
2018,Canada,,Toutes les matières,Toutes les sources des matières récupérées,9551229.0
2020,Canada,,Toutes les matières,Toutes les sources des matières récupérées,9903027.0
2018,Canada,,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Canada,,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Canada,,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Canada,,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Canada,,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,3519689.0
2020,Canada,,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,3502683.0
2018,Canada,,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,1537059.0
2020,Canada,,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,1548028.0
2018,Canada,,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,1982630.0
2020,Canada,,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,1954655.0
2018,Canada,,Verre,Toutes les sources des matières récupérées,396931.0
2020,Canada,,Verre,Toutes les sources des matières récupérées,423565.0
2018,Canada,,Verre,Sources des matières résidentielles récupérées,298052.0
2020,Canada,,Verre,Sources des matières résidentielles récupérées,303780.0
2018,Canada,,Verre,Sources des matières non résidentielles récupérées,98879.0
2020,Canada,,Verre,Sources des matières non résidentielles récupérées,119785.0
2018,Canada,,Métaux ferreux,Toutes les sources des matières récupérées,624866.0
2020,Canada,,Métaux ferreux,Toutes les sources des matières récupérées,722367.0
2018,Canada,,Métaux ferreux,Sources des matières résidentielles récupérées,114861.0
2020,Canada,,Métaux ferreux,Sources des matières résidentielles récupérées,126447.0
2018,Canada,,Métaux ferreux,Sources des matières non résidentielles récupérées,510005.0
2020,Canada,,Métaux ferreux,Sources des matières non résidentielles récupérées,595920.0
2018,Canada,,Cuivre et aluminium,Toutes les sources des matières récupérées,132062.0
2020,Canada,,Cuivre et aluminium,Toutes les sources des matières récupérées,76847.0
2018,Canada,,Cuivre et aluminium,Sources des matières résidentielles récupérées,40715.0
2020,Canada,,Cuivre et aluminium,Sources des matières résidentielles récupérées,46248.0
2018,Canada,,Cuivre et aluminium,Sources des matières non résidentielles récupérées,91347.0
2020,Canada,,Cuivre et aluminium,Sources des matières non résidentielles récupérées,30599.0
2018,Canada,,Métaux mélangés,Toutes les sources des matières récupérées,116987.0
2020,Canada,,Métaux mélangés,Toutes les sources des matières récupérées,132548.0
2018,Canada,,Métaux mélangés,Sources des matières résidentielles récupérées,59862.0
2020,Canada,,Métaux mélangés,Sources des matières résidentielles récupérées,61025.0
2018,Canada,,Métaux mélangés,Sources des matières non résidentielles récupérées,57125.0
2020,Canada,,Métaux mélangés,Sources des matières non résidentielles récupérées,71524.0
2018,Canada,,Électroménagers,Toutes les sources des matières récupérées,63459.0
2020,Canada,,Électroménagers,Toutes les sources des matières récupérées,63119.0
2018,Canada,,Électroménagers,Sources des matières résidentielles récupérées,38603.0
2020,Canada,,Électroménagers,Sources des matières résidentielles récupérées,41832.0
2018,Canada,,Électroménagers,Sources des matières non résidentielles récupérées,24856.0
2020,Canada,,Électroménagers,Sources des matières non résidentielles récupérées,21287.0
2018,Canada,,Matériel électronique,Toutes les sources des matières récupérées,105270.0
2020,Canada,,Matériel électronique,Toutes les sources des matières récupérées,95176.0
2018,Canada,,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Canada,,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Canada,,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Canada,,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Canada,,Matières plastiques,Toutes les sources des matières récupérées,354559.0
2020,Canada,,Matières plastiques,Toutes les sources des matières récupérées,368343.0
2018,Canada,,Matières plastiques,Sources des matières résidentielles récupérées,250323.0
2020,Canada,,Matières plastiques,Sources des matières résidentielles récupérées,239874.0
2018,Canada,,Matières plastiques,Sources des matières non résidentielles récupérées,104236.0
2020,Canada,,Matières plastiques,Sources des matières non résidentielles récupérées,128469.0
2018,Canada,,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,25223.0
2020,Canada,,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,20265.0
2018,Canada,,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,22205.0
2020,Canada,,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,17853.0
2018,Canada,,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,3018.0
2020,Canada,,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,2411.0
2018,Canada,,Textiles,Toutes les sources des matières récupérées,58895.0
2020,Canada,,Textiles,Toutes les sources des matières récupérées,62363.0
2018,Canada,,Textiles,Sources des matières résidentielles récupérées,58407.0
2020,Canada,,Textiles,Sources des matières résidentielles récupérées,61840.0
2018,Canada,,Textiles,Sources des matières non résidentielles récupérées,488.0
2020,Canada,,Textiles,Sources des matières non résidentielles récupérées,523.0
2018,Canada,,Pneus,Toutes les sources des matières récupérées,487904.0
2020,Canada,,Pneus,Toutes les sources des matières récupérées,430467.0
2018,Canada,,Pneus,Sources des matières résidentielles récupérées,
2020,Canada,,Pneus,Sources des matières résidentielles récupérées,
2018,Canada,,Pneus,Sources des matières non résidentielles récupérées,
2020,Canada,,Pneus,Sources des matières non résidentielles récupérées,
2018,Canada,,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,722451.0
2020,Canada,,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,750525.0
2018,Canada,,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,117626.0
2020,Canada,,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,124613.0
2018,Canada,,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,604825.0
2020,Canada,,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,625912.0
2018,Canada,,Matières organiques,Toutes les sources des matières récupérées,2878960.0
2020,Canada,,Matières organiques,Toutes les sources des matières récupérées,3152774.0
2018,Canada,,Matières organiques,Sources des matières résidentielles récupérées,2278984.0
2020,Canada,,Matières organiques,Sources des matières résidentielles récupérées,2511704.0
2018,Canada,,Matières organiques,Sources des matières non résidentielles récupérées,599976.0
2020,Canada,,Matières organiques,Sources des matières non résidentielles récupérées,641070.0
2018,Canada,,Autres matières,Toutes les sources des matières récupérées,63973.0
2020,Canada,,Autres matières,Toutes les sources des matières récupérées,101985.0
2018,Canada,,Autres matières,Sources des matières résidentielles récupérées,46485.0
2020,Canada,,Autres matières,Sources des matières résidentielles récupérées,79399.0
2018,Canada,,Autres matières,Sources des matières non résidentielles récupérées,17488.0
2020,Canada,,Autres matières,Sources des matières non résidentielles récupérées,22587.0
2018,Terre-Neuve-et-Labrador,10,Toutes les matières,Toutes les sources des matières récupérées,41739.0
2020,Terre-Neuve-et-Labrador,10,Toutes les matières,Toutes les sources des matières récupérées,47283.0
2018,Terre-Neuve-et-Labrador,10,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,28679.0
2020,Terre-Neuve-et-Labrador,10,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,27837.0
2018,Terre-Neuve-et-Labrador,10,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,13451.0
2020,Terre-Neuve-et-Labrador,10,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,14386.0
2018,Terre-Neuve-et-Labrador,10,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,15228.0
2020,Terre-Neuve-et-Labrador,10,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,13451.0
2018,Terre-Neuve-et-Labrador,10,Verre,Toutes les sources des matières récupérées,
2020,Terre-Neuve-et-Labrador,10,Verre,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,10,Verre,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Verre,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Verre,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Verre,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Métaux ferreux,Toutes les sources des matières récupérées,534.0
2020,Terre-Neuve-et-Labrador,10,Métaux ferreux,Toutes les sources des matières récupérées,422.0
2018,Terre-Neuve-et-Labrador,10,Métaux ferreux,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Métaux ferreux,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Métaux ferreux,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Métaux ferreux,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Cuivre et aluminium,Toutes les sources des matières récupérées,106.0
2020,Terre-Neuve-et-Labrador,10,Cuivre et aluminium,Toutes les sources des matières récupérées,270.0
2018,Terre-Neuve-et-Labrador,10,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Cuivre et aluminium,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Cuivre et aluminium,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Métaux mélangés,Toutes les sources des matières récupérées,
2020,Terre-Neuve-et-Labrador,10,Métaux mélangés,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,10,Métaux mélangés,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Métaux mélangés,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Électroménagers,Toutes les sources des matières récupérées,1262.0
2020,Terre-Neuve-et-Labrador,10,Électroménagers,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,10,Électroménagers,Sources des matières résidentielles récupérées,1262.0
2020,Terre-Neuve-et-Labrador,10,Électroménagers,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Électroménagers,Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,Électroménagers,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Matériel électronique,Toutes les sources des matières récupérées,796.0
2020,Terre-Neuve-et-Labrador,10,Matériel électronique,Toutes les sources des matières récupérées,632.0
2018,Terre-Neuve-et-Labrador,10,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Matières plastiques,Toutes les sources des matières récupérées,1108.0
2020,Terre-Neuve-et-Labrador,10,Matières plastiques,Toutes les sources des matières récupérées,1283.0
2018,Terre-Neuve-et-Labrador,10,Matières plastiques,Sources des matières résidentielles récupérées,987.0
2020,Terre-Neuve-et-Labrador,10,Matières plastiques,Sources des matières résidentielles récupérées,1100.0
2018,Terre-Neuve-et-Labrador,10,Matières plastiques,Sources des matières non résidentielles récupérées,121.0
2020,Terre-Neuve-et-Labrador,10,Matières plastiques,Sources des matières non résidentielles récupérées,183.0
2018,Terre-Neuve-et-Labrador,10,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,543.0
2020,Terre-Neuve-et-Labrador,10,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,634.0
2018,Terre-Neuve-et-Labrador,10,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,457.0
2020,Terre-Neuve-et-Labrador,10,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,555.0
2018,Terre-Neuve-et-Labrador,10,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,86.0
2020,Terre-Neuve-et-Labrador,10,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,80.0
2018,Terre-Neuve-et-Labrador,10,Textiles,Toutes les sources des matières récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,Textiles,Toutes les sources des matières récupérées,0.0
2018,Terre-Neuve-et-Labrador,10,Textiles,Sources des matières résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,Textiles,Sources des matières résidentielles récupérées,0.0
2018,Terre-Neuve-et-Labrador,10,Textiles,Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,Textiles,Sources des matières non résidentielles récupérées,0.0
2018,Terre-Neuve-et-Labrador,10,Pneus,Toutes les sources des matières récupérées,5929.0
2020,Terre-Neuve-et-Labrador,10,Pneus,Toutes les sources des matières récupérées,6703.0
2018,Terre-Neuve-et-Labrador,10,Pneus,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Pneus,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Pneus,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Pneus,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,10,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Matières organiques,Toutes les sources des matières récupérées,905.0
2020,Terre-Neuve-et-Labrador,10,Matières organiques,Toutes les sources des matières récupérées,915.0
2018,Terre-Neuve-et-Labrador,10,Matières organiques,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Matières organiques,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Matières organiques,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,10,Matières organiques,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,10,Autres matières,Toutes les sources des matières récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,Autres matières,Toutes les sources des matières récupérées,0.0
2018,Terre-Neuve-et-Labrador,10,Autres matières,Sources des matières résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,Autres matières,Sources des matières résidentielles récupérées,0.0
2018,Terre-Neuve-et-Labrador,10,Autres matières,Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,10,Autres matières,Sources des matières non résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,Toutes les matières,Toutes les sources des matières récupérées,56795.0
2020,Île-du-Prince-Édouard,11,Toutes les matières,Toutes les sources des matières récupérées,57742.0
2018,Île-du-Prince-Édouard,11,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Île-du-Prince-Édouard,11,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,11,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Île-du-Prince-Édouard,11,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,11,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,12214.0
2020,Île-du-Prince-Édouard,11,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,13757.0
2018,Île-du-Prince-Édouard,11,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,4641.0
2020,Île-du-Prince-Édouard,11,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,5228.0
2018,Île-du-Prince-Édouard,11,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,7573.0
2020,Île-du-Prince-Édouard,11,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,8529.0
2018,Île-du-Prince-Édouard,11,Verre,Toutes les sources des matières récupérées,268.0
2020,Île-du-Prince-Édouard,11,Verre,Toutes les sources des matières récupérées,302.0
2018,Île-du-Prince-Édouard,11,Verre,Sources des matières résidentielles récupérées,102.0
2020,Île-du-Prince-Édouard,11,Verre,Sources des matières résidentielles récupérées,115.0
2018,Île-du-Prince-Édouard,11,Verre,Sources des matières non résidentielles récupérées,166.0
2020,Île-du-Prince-Édouard,11,Verre,Sources des matières non résidentielles récupérées,187.0
2018,Île-du-Prince-Édouard,11,Métaux ferreux,Toutes les sources des matières récupérées,9363.0
2020,Île-du-Prince-Édouard,11,Métaux ferreux,Toutes les sources des matières récupérées,8594.0
2018,Île-du-Prince-Édouard,11,Métaux ferreux,Sources des matières résidentielles récupérées,3558.0
2020,Île-du-Prince-Édouard,11,Métaux ferreux,Sources des matières résidentielles récupérées,3266.0
2018,Île-du-Prince-Édouard,11,Métaux ferreux,Sources des matières non résidentielles récupérées,5805.0
2020,Île-du-Prince-Édouard,11,Métaux ferreux,Sources des matières non résidentielles récupérées,5328.0
2018,Île-du-Prince-Édouard,11,Cuivre et aluminium,Toutes les sources des matières récupérées,1625.0
2020,Île-du-Prince-Édouard,11,Cuivre et aluminium,Toutes les sources des matières récupérées,1492.0
2018,Île-du-Prince-Édouard,11,Cuivre et aluminium,Sources des matières résidentielles récupérées,674.0
2020,Île-du-Prince-Édouard,11,Cuivre et aluminium,Sources des matières résidentielles récupérées,642.0
2018,Île-du-Prince-Édouard,11,Cuivre et aluminium,Sources des matières non résidentielles récupérées,951.0
2020,Île-du-Prince-Édouard,11,Cuivre et aluminium,Sources des matières non résidentielles récupérées,850.0
2018,Île-du-Prince-Édouard,11,Métaux mélangés,Toutes les sources des matières récupérées,2004.0
2020,Île-du-Prince-Édouard,11,Métaux mélangés,Toutes les sources des matières récupérées,1839.0
2018,Île-du-Prince-Édouard,11,Métaux mélangés,Sources des matières résidentielles récupérées,762.0
2020,Île-du-Prince-Édouard,11,Métaux mélangés,Sources des matières résidentielles récupérées,699.0
2018,Île-du-Prince-Édouard,11,Métaux mélangés,Sources des matières non résidentielles récupérées,1242.0
2020,Île-du-Prince-Édouard,11,Métaux mélangés,Sources des matières non résidentielles récupérées,1140.0
2018,Île-du-Prince-Édouard,11,Électroménagers,Toutes les sources des matières récupérées,6790.0
2020,Île-du-Prince-Édouard,11,Électroménagers,Toutes les sources des matières récupérées,6232.0
2018,Île-du-Prince-Édouard,11,Électroménagers,Sources des matières résidentielles récupérées,2580.0
2020,Île-du-Prince-Édouard,11,Électroménagers,Sources des matières résidentielles récupérées,2368.0
2018,Île-du-Prince-Édouard,11,Électroménagers,Sources des matières non résidentielles récupérées,4210.0
2020,Île-du-Prince-Édouard,11,Électroménagers,Sources des matières non résidentielles récupérées,3864.0
2018,Île-du-Prince-Édouard,11,Matériel électronique,Toutes les sources des matières récupérées,458.0
2020,Île-du-Prince-Édouard,11,Matériel électronique,Toutes les sources des matières récupérées,417.0
2018,Île-du-Prince-Édouard,11,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Île-du-Prince-Édouard,11,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,11,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Île-du-Prince-Édouard,11,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,11,Matières plastiques,Toutes les sources des matières récupérées,939.0
2020,Île-du-Prince-Édouard,11,Matières plastiques,Toutes les sources des matières récupérées,1058.0
2018,Île-du-Prince-Édouard,11,Matières plastiques,Sources des matières résidentielles récupérées,357.0
2020,Île-du-Prince-Édouard,11,Matières plastiques,Sources des matières résidentielles récupérées,402.0
2018,Île-du-Prince-Édouard,11,Matières plastiques,Sources des matières non résidentielles récupérées,582.0
2020,Île-du-Prince-Édouard,11,Matières plastiques,Sources des matières non résidentielles récupérées,656.0
2018,Île-du-Prince-Édouard,11,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,0.0
2020,Île-du-Prince-Édouard,11,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,0.0
2018,Île-du-Prince-Édouard,11,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,0.0
2020,Île-du-Prince-Édouard,11,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,0.0
2020,Île-du-Prince-Édouard,11,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,Textiles,Toutes les sources des matières récupérées,0.0
2020,Île-du-Prince-Édouard,11,Textiles,Toutes les sources des matières récupérées,0.0
2018,Île-du-Prince-Édouard,11,Textiles,Sources des matières résidentielles récupérées,0.0
2020,Île-du-Prince-Édouard,11,Textiles,Sources des matières résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,Textiles,Sources des matières non résidentielles récupérées,0.0
2020,Île-du-Prince-Édouard,11,Textiles,Sources des matières non résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,Pneus,Toutes les sources des matières récupérées,2354.0
2020,Île-du-Prince-Édouard,11,Pneus,Toutes les sources des matières récupérées,2463.0
2018,Île-du-Prince-Édouard,11,Pneus,Sources des matières résidentielles récupérées,
2020,Île-du-Prince-Édouard,11,Pneus,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,11,Pneus,Sources des matières non résidentielles récupérées,
2020,Île-du-Prince-Édouard,11,Pneus,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,11,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,0.0
2020,Île-du-Prince-Édouard,11,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,0.0
2018,Île-du-Prince-Édouard,11,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.0
2020,Île-du-Prince-Édouard,11,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,0.0
2020,Île-du-Prince-Édouard,11,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,Matières organiques,Toutes les sources des matières récupérées,20445.0
2020,Île-du-Prince-Édouard,11,Matières organiques,Toutes les sources des matières récupérées,21588.0
2018,Île-du-Prince-Édouard,11,Matières organiques,Sources des matières résidentielles récupérées,16116.0
2020,Île-du-Prince-Édouard,11,Matières organiques,Sources des matières résidentielles récupérées,17554.0
2018,Île-du-Prince-Édouard,11,Matières organiques,Sources des matières non résidentielles récupérées,4329.0
2020,Île-du-Prince-Édouard,11,Matières organiques,Sources des matières non résidentielles récupérées,4034.0
2018,Île-du-Prince-Édouard,11,Autres matières,Toutes les sources des matières récupérées,335.0
2020,Île-du-Prince-Édouard,11,Autres matières,Toutes les sources des matières récupérées,0.0
2018,Île-du-Prince-Édouard,11,Autres matières,Sources des matières résidentielles récupérées,127.0
2020,Île-du-Prince-Édouard,11,Autres matières,Sources des matières résidentielles récupérées,0.0
2018,Île-du-Prince-Édouard,11,Autres matières,Sources des matières non résidentielles récupérées,208.0
2020,Île-du-Prince-Édouard,11,Autres matières,Sources des matières non résidentielles récupérées,0.0
2018,Nouvelle-Écosse,12,Toutes les matières,Toutes les sources des matières récupérées,316688.0
2020,Nouvelle-Écosse,12,Toutes les matières,Toutes les sources des matières récupérées,304311.0
2018,Nouvelle-Écosse,12,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,73462.0
2020,Nouvelle-Écosse,12,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,71208.0
2018,Nouvelle-Écosse,12,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,39869.0
2020,Nouvelle-Écosse,12,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,43578.0
2018,Nouvelle-Écosse,12,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,33593.0
2020,Nouvelle-Écosse,12,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,27630.0
2018,Nouvelle-Écosse,12,Verre,Toutes les sources des matières récupérées,4184.0
2020,Nouvelle-Écosse,12,Verre,Toutes les sources des matières récupérées,4275.0
2018,Nouvelle-Écosse,12,Verre,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Verre,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Verre,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Verre,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,Métaux ferreux,Toutes les sources des matières récupérées,5536.0
2020,Nouvelle-Écosse,12,Métaux ferreux,Toutes les sources des matières récupérées,4750.0
2018,Nouvelle-Écosse,12,Métaux ferreux,Sources des matières résidentielles récupérées,5128.0
2020,Nouvelle-Écosse,12,Métaux ferreux,Sources des matières résidentielles récupérées,4583.0
2018,Nouvelle-Écosse,12,Métaux ferreux,Sources des matières non résidentielles récupérées,408.0
2020,Nouvelle-Écosse,12,Métaux ferreux,Sources des matières non résidentielles récupérées,167.0
2018,Nouvelle-Écosse,12,Cuivre et aluminium,Toutes les sources des matières récupérées,455.0
2020,Nouvelle-Écosse,12,Cuivre et aluminium,Toutes les sources des matières récupérées,1369.0
2018,Nouvelle-Écosse,12,Cuivre et aluminium,Sources des matières résidentielles récupérées,424.0
2020,Nouvelle-Écosse,12,Cuivre et aluminium,Sources des matières résidentielles récupérées,1318.0
2018,Nouvelle-Écosse,12,Cuivre et aluminium,Sources des matières non résidentielles récupérées,31.0
2020,Nouvelle-Écosse,12,Cuivre et aluminium,Sources des matières non résidentielles récupérées,51.0
2018,Nouvelle-Écosse,12,Métaux mélangés,Toutes les sources des matières récupérées,
2020,Nouvelle-Écosse,12,Métaux mélangés,Toutes les sources des matières récupérées,1898.0
2018,Nouvelle-Écosse,12,Métaux mélangés,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Métaux mélangés,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,Électroménagers,Toutes les sources des matières récupérées,1096.0
