Year,Personnes à faible revenu,Géographie,GeoCode,Value
2015,Hommes+,"Vancouver, Colombie-Britannique",,17.1
2015,"Men+, under 18 years","Vancouver, Colombie-Britannique",,14.9
2015,"Men+, 18 to 64 years","Vancouver, Colombie-Britannique",,17.8
2015,"Men+, 65 years and over","Vancouver, Colombie-Britannique",,16.8
2015,Femmes+,"Vancouver, Colombie-Britannique",,17.0
2015,"Women+, under 18 years","Vancouver, Colombie-Britannique",,15.7
2015,"Women+, 18 to 64 years","Vancouver, Colombie-Britannique",,17.5
2015,"Women+, 65 years and over","Vancouver, Colombie-Britannique",,16.6
2016,Personnes de moins de 18 ans,Canada,,13.8
2016,Personnes de 18 à 64 ans,Canada,,12.3
2016,Personnes de 65 ans et plus,Canada,,14.6
2016,Hommes+,Canada,,12.2
2016,"Men+, under 18 years",Canada,,13.5
2016,"Men+, 18 to 64 years",Canada,,11.7
2016,"Men+, 65 years and over",Canada,,12.3
2016,Femmes+,Canada,,13.8
2016,"Women+, under 18 years",Canada,,14.2
2016,"Women+, 18 to 64 years",Canada,,13.0
2016,"Women+, 65 years and over",Canada,,16.6
2016,Toutes les personnes,Provinces de l'Atlantique,,15.7
2016,Personnes de moins de 18 ans,Provinces de l'Atlantique,,18.1
2016,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,13.6
2016,Personnes de 65 ans et plus,Provinces de l'Atlantique,,20.3
2016,Hommes+,Provinces de l'Atlantique,,14.6
2016,"Men+, under 18 years",Provinces de l'Atlantique,,19.3
2016,"Men+, 18 to 64 years",Provinces de l'Atlantique,,12.2
2016,"Men+, 65 years and over",Provinces de l'Atlantique,,18.3
2016,Femmes+,Provinces de l'Atlantique,,16.8
2016,"Women+, under 18 years",Provinces de l'Atlantique,,17.0
2016,"Women+, 18 to 64 years",Provinces de l'Atlantique,,15.0
2016,"Women+, 65 years and over",Provinces de l'Atlantique,,22.2
2016,Toutes les personnes,Terre-Neuve-et-Labrador,10,15.8
2016,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,,16.2
2016,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,,12.8
2016,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,,25.6
2016,Hommes+,Terre-Neuve-et-Labrador,,14.0
2016,"Men+, under 18 years",Terre-Neuve-et-Labrador,,16.7
2016,"Men+, 18 to 64 years",Terre-Neuve-et-Labrador,,9.9
2016,"Men+, 65 years and over",Terre-Neuve-et-Labrador,,25.3
2016,Femmes+,Terre-Neuve-et-Labrador,,17.6
2016,"Women+, under 18 years",Terre-Neuve-et-Labrador,,15.6
2016,"Women+, 18 to 64 years",Terre-Neuve-et-Labrador,,15.6
2016,"Women+, 65 years and over",Terre-Neuve-et-Labrador,,25.9
2016,Toutes les personnes,Île-du-Prince-Édouard,11,16.3
2016,Personnes de moins de 18 ans,Île-du-Prince-Édouard,,22.6
2016,Personnes de 18 à 64 ans,Île-du-Prince-Édouard,,13.3
2016,Personnes de 65 ans et plus,Île-du-Prince-Édouard,,19.7
2016,Hommes+,Île-du-Prince-Édouard,,13.5
2016,"Men+, under 18 years",Île-du-Prince-Édouard,,19.4
2016,"Men+, 18 to 64 years",Île-du-Prince-Édouard,,11.6
2016,"Men+, 65 years and over",Île-du-Prince-Édouard,,13.7
2016,Femmes+,Île-du-Prince-Édouard,,18.9
2016,"Women+, under 18 years",Île-du-Prince-Édouard,,25.9
2016,"Women+, 18 to 64 years",Île-du-Prince-Édouard,,14.9
2016,"Women+, 65 years and over",Île-du-Prince-Édouard,,25.0
2016,Toutes les personnes,Nouvelle-Écosse,12,16.2
2016,Personnes de moins de 18 ans,Nouvelle-Écosse,,19.1
2016,Personnes de 18 à 64 ans,Nouvelle-Écosse,,15.5
2016,Personnes de 65 ans et plus,Nouvelle-Écosse,,15.9
2016,Hommes+,Nouvelle-Écosse,,16.1
2016,"Men+, under 18 years",Nouvelle-Écosse,,20.4
2016,"Men+, 18 to 64 years",Nouvelle-Écosse,,15.3
2016,"Men+, 65 years and over",Nouvelle-Écosse,,14.3
2016,Femmes+,Nouvelle-Écosse,,16.3
2016,"Women+, under 18 years",Nouvelle-Écosse,,17.7
2016,"Women+, 18 to 64 years",Nouvelle-Écosse,,15.7
2016,"Women+, 65 years and over",Nouvelle-Écosse,,17.3
2016,Toutes les personnes,Nouveau-Brunswick,13,15.0
2016,Personnes de moins de 18 ans,Nouveau-Brunswick,,17.4
2016,Personnes de 18 à 64 ans,Nouveau-Brunswick,,12.0
2016,Personnes de 65 ans et plus,Nouveau-Brunswick,,22.3
2016,Hommes+,Nouveau-Brunswick,,13.5
2016,"Men+, under 18 years",Nouveau-Brunswick,,19.6
2016,"Men+, 18 to 64 years",Nouveau-Brunswick,,10.1
2016,"Men+, 65 years and over",Nouveau-Brunswick,,19.1
2016,Femmes+,Nouveau-Brunswick,,16.4
2016,"Women+, under 18 years",Nouveau-Brunswick,,15.1
2016,"Women+, 18 to 64 years",Nouveau-Brunswick,,13.8
2016,"Women+, 65 years and over",Nouveau-Brunswick,,25.1
2016,Toutes les personnes,Québec,24,13.8
2016,Personnes de moins de 18 ans,Québec,,12.9
2016,Personnes de 18 à 64 ans,Québec,,12.6
2016,Personnes de 65 ans et plus,Québec,,19.1
2016,Hommes+,Québec,,13.2
2016,"Men+, under 18 years",Québec,,13.3
2016,"Men+, 18 to 64 years",Québec,,12.4
2016,"Men+, 65 years and over",Québec,,16.2
2016,Femmes+,Québec,,14.4
2016,"Women+, under 18 years",Québec,,12.5
2016,"Women+, 18 to 64 years",Québec,,12.8
2016,"Women+, 65 years and over",Québec,,21.5
2016,Toutes les personnes,Ontario,35,13.7
2016,Personnes de moins de 18 ans,Ontario,,16.0
2016,Personnes de 18 à 64 ans,Ontario,,13.2
2016,Personnes de 65 ans et plus,Ontario,,13.0
2016,Hommes+,Ontario,,12.2
2016,"Men+, under 18 years",Ontario,,14.8
2016,"Men+, 18 to 64 years",Ontario,,11.7
2016,"Men+, 65 years and over",Ontario,,10.8
2016,Femmes+,Ontario,,15.1
2016,"Women+, under 18 years",Ontario,,17.3
2016,"Women+, 18 to 64 years",Ontario,,14.6
2016,"Women+, 65 years and over",Ontario,,14.9
2016,Toutes les personnes,Provinces des Prairies,,9.2
2016,Personnes de moins de 18 ans,Provinces des Prairies,,10.1
2016,Personnes de 18 à 64 ans,Provinces des Prairies,,8.9
2016,Personnes de 65 ans et plus,Provinces des Prairies,,9.5
2016,Hommes+,Provinces des Prairies,,9.1
2016,"Men+, under 18 years",Provinces des Prairies,,10.4
2016,"Men+, 18 to 64 years",Provinces des Prairies,,8.6
